Question,SQL Query
What is the average order value for each sales representative?,"SELECT e.employeeNumber, AVG(order_value) AS avg_order_value FROM (SELECT o.customerNumber, SUM(od.quantityOrdered * od.priceEach) AS order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_values JOIN customers c ON order_values.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total value of all orders placed by each customer?,"SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber;"
What is the average number of products per order for each sales representative?,"SELECT e.employeeNumber, AVG(products_per_order) AS avg_products_per_order FROM (SELECT o.customerNumber, SUM(od.quantityOrdered) AS products_per_order FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber) AS order_products JOIN customers c ON order_products.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total revenue generated by each sales representative's customers?,"SELECT e.employeeNumber, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
What is the total number of orders shipped by each sales representative's customers?,"SELECT e.employeeNumber, COUNT(*) AS total_shipped_orders FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber WHERE o.shippedDate IS NOT NULL GROUP BY e.employeeNumber;"
What is the average payment amount for each customer by product line?,"SELECT c.customerNumber, p.productLine, AVG(pmt.amount) AS avg_payment FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY c.customerNumber, p.productLine;"
What is the total value of payments received from each customer by product line?,"SELECT c.customerNumber, p.productLine, SUM(pmt.amount) AS total_payment FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY c.customerNumber, p.productLine;"
What is the average number of products per order by product line?,"SELECT p.productLine, AVG(quantityOrdered) AS avg_products_per_order FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the total number of orders placed by customers in each office?,"SELECT o.officeCode, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber GROUP BY o.officeCode;"
What is the total number of products in stock for each office?,"SELECT o.officeCode, SUM(p.quantityInStock) AS total_stock FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode;"
What is the average number of orders per customer for each sales representative?,"SELECT e.employeeNumber, AVG(total_orders) AS avg_orders_per_customer FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the average number of products ordered per customer for each sales representative?,"SELECT e.employeeNumber, AVG(total_products) AS avg_products_per_customer FROM (SELECT customerNumber, SUM(quantityOrdered) AS total_products FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber) AS customer_products JOIN customers c ON customer_products.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total value of orders placed by customers in each office?,"SELECT o.officeCode, SUM(od.quantityOrdered * od.priceEach) AS total_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber GROUP BY o.officeCode;"
What is the total value of orders placed by customers in each office by product line?,"SELECT o.officeCode, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the average payment amount for each sales representative's customers?,"SELECT e.employeeNumber, AVG(pmt.amount) AS avg_payment FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY e.employeeNumber;"
What is the average number of orders per customer for each sales representative's customers?,"SELECT e.employeeNumber, AVG(total_orders) AS avg_orders_per_customer FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the total value of all orders placed by customers in each office?,"SELECT o.officeCode, SUM(od.quantityOrdered * od.priceEach) AS total_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber GROUP BY o.officeCode;"
What is the average number of orders per customer?,"SELECT AVG(total_orders) AS avg_orders_per_customer FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders;"
What is the total revenue generated by each product line?,"SELECT p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productLine;"
What is the total revenue generated by each customer?,"SELECT customerNumber, SUM(quantityOrdered * priceEach) AS total_revenue FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber;"
What is the average number of products ordered per customer?,"SELECT AVG(total_products) AS avg_products_per_customer FROM (SELECT customerNumber, SUM(quantityOrdered) AS total_products FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber) AS customer_products;"
What is the total value of all orders placed by customers?,SELECT SUM(quantityOrdered * priceEach) AS total_order_value FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber;
What is the total revenue generated by each product line in each office?,"SELECT o.officeCode, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, p.productLine;"
What is the total revenue generated by each sales representative's customers by product line?,"SELECT e.employeeNumber, p.productLine, SUM(od.quantityOrdered * od.priceEach) AS total_revenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY e.employeeNumber, p.productLine;"
What is the total value of orders placed by customers in each office by sales representative?,"SELECT o.officeCode, e.employeeNumber, SUM(od.quantityOrdered * od.priceEach) AS total_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber GROUP BY o.officeCode, e.employeeNumber;"
What is the average number of orders per sales representative?,"SELECT e.employeeNumber, AVG(total_orders) AS avg_orders_per_rep FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the average number of products ordered per sales representative?,"SELECT e.employeeNumber, AVG(total_products) AS avg_products_per_rep FROM (SELECT customerNumber, SUM(quantityOrdered) AS total_products FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY customerNumber) AS customer_products JOIN customers c ON customer_products.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber GROUP BY e.employeeNumber;"
What is the average value of all orders placed by customers in each office?,"SELECT o.officeCode, AVG(order_value) AS avg_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN (SELECT orderNumber, SUM(quantityOrdered * priceEach) AS order_value FROM orderdetails GROUP BY orderNumber) AS order_values ON o2.orderNumber = order_values.orderNumber GROUP BY o.officeCode;"
What is the total value of payments received from each customer by office?,"SELECT o.officeCode, c.customerNumber, SUM(pmt.amount) AS total_payment FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY o.officeCode, c.customerNumber;"
What is the total number of orders placed by customers in each office by sales representative by product line?,"SELECT o.officeCode, e.employeeNumber, p.productLine, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, e.employeeNumber, p.productLine;"
What is the average number of orders per office for each sales representative?,"SELECT o.officeCode, e.employeeNumber, AVG(total_orders) AS avg_orders_per_office_rep FROM (SELECT customerNumber, COUNT(*) AS total_orders FROM orders GROUP BY customerNumber) AS customer_orders JOIN customers c ON customer_orders.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber JOIN offices o ON e.officeCode = o.officeCode GROUP BY o.officeCode, e.employeeNumber;"
What is the average value of all orders placed by customers in each office by sales representative?,"SELECT o.officeCode, e.employeeNumber, AVG(order_value) AS avg_order_value FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN (SELECT orderNumber, SUM(quantityOrdered * priceEach) AS order_value FROM orderdetails GROUP BY orderNumber) AS order_values ON o2.orderNumber = order_values.orderNumber GROUP BY o.officeCode, e.employeeNumber;"
What is the total value of payments received from each customer by office by sales representative?,"SELECT o.officeCode, e.employeeNumber, c.customerNumber, SUM(pmt.amount) AS total_payment FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN payments pmt ON c.customerNumber = pmt.customerNumber GROUP BY o.officeCode, e.employeeNumber, c.customerNumber;"
What is the total number of orders placed by customers in each office by sales representative by product line by month?,"SELECT o.officeCode, e.employeeNumber, p.productLine, MONTH(o2.orderDate) AS order_month, COUNT(*) AS total_orders FROM offices o JOIN employees e ON o.officeCode = e.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o2 ON c.customerNumber = o2.customerNumber JOIN orderdetails od ON o2.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.officeCode, e.employeeNumber, p.productLine, MONTH(o2.orderDate);"
List all products and their corresponding product lines.,"SELECT p.productName, pl.productLine FROM products p JOIN productlines pl ON p.productLine = pl.productLine;"
Get the names and email addresses of employees who manage other employees.,"SELECT e1.firstName, e1.lastName, e1.email FROM employees e1 JOIN employees e2 ON e1.employeeNumber = e2.reportsTo;"
Find the customer names and their sales representatives' names for customers who have placed orders.,"SELECT c.customerName, e1.firstName AS salesRepFirstName, e1.lastName AS salesRepLastName FROM customers c JOIN employees e1 ON c.salesRepEmployeeNumber = e1.employeeNumber JOIN orders o ON c.customerNumber = o.customerNumber;"
Get all orders with their corresponding customer names and the cities of those customers.,"SELECT o.orderNumber, c.customerName, c.city FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;"
List the product names and the quantities ordered for products ordered by a specific customer.,"SELECT p.productName, od.quantityOrdered FROM orderdetails od JOIN products p ON od.productCode = p.productCode JOIN orders o ON od.orderNumber = o.orderNumber WHERE o.customerNumber = 103;"
Find the total amount paid by each customer and their credit limit.,"SELECT c.customerName, SUM(p.amount) AS totalPaid, c.creditLimit FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerNumber, c.creditLimit;"
List employees and the cities where their offices are located.,"SELECT e.firstName, e.lastName, o.city FROM employees e JOIN offices o ON e.officeCode = o.officeCode;"
"Get all orders that were shipped late, including the customer name and the order status.","SELECT o.orderNumber, c.customerName, o.status FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber WHERE o.shippedDate > o.requiredDate;"
Find the products with prices higher than the average price of all products.,"SELECT p.productName, p.buyPrice FROM products p WHERE p.buyPrice > (SELECT AVG(buyPrice) FROM products);"
List customers and the products they have ordered along with the quantities ordered.,"SELECT c.customerName, p.productName, od.quantityOrdered FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode;"
Get the names of employees and the names of customers they handle.,"SELECT e.firstName AS employeeFirstName, e.lastName AS employeeLastName, c.customerName FROM employees e LEFT JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber;"
Find the order details for a specific order number along with product descriptions.,"SELECT od.orderNumber, p.productName, od.quantityOrdered, od.priceEach, p.productDescription FROM orderdetails od JOIN products p ON od.productCode = p.productCode WHERE od.orderNumber = 101;"
List all products that are in stock and their respective product lines and descriptions.,"SELECT p.productName, p.quantityInStock, pl.productLine, pl.textDescription FROM products p JOIN productlines pl ON p.productLine = pl.productLine WHERE p.quantityInStock > 0;"
Get the total sales amount for each product line.,"SELECT pl.productLine, SUM(od.quantityOrdered * od.priceEach) AS totalSales FROM orderdetails od JOIN products p ON od.productCode = p.productCode JOIN productlines pl ON p.productLine = pl.productLine GROUP BY pl.productLine;"
Find employees who report to more than one manager (if applicable).,"SELECT e1.firstName, e1.lastName FROM employees e1 JOIN employees e2 ON e1.reportsTo = e2.employeeNumber GROUP BY e1.employeeNumber HAVING COUNT(e2.reportsTo) > 1;"
Get all customers who have made payments but have not placed any orders.,SELECT c.customerName FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber LEFT JOIN payments p ON c.customerNumber = p.customerNumber WHERE o.orderNumber IS NULL AND p.checkNumber IS NOT NULL;
"List all orders, including customer names and their addresses, for orders that have been shipped.","SELECT o.orderNumber, c.customerName, c.addressLine1, c.addressLine2 FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber WHERE o.shippedDate IS NOT NULL;"
Find all employees with their respective office cities and phone numbers who do not manage anyone.,"SELECT e.firstName, e.lastName, o.city, o.phone FROM employees e JOIN offices o ON e.officeCode = o.officeCode WHERE e.employeeNumber NOT IN (SELECT DISTINCT reportsTo FROM employees);"
List all products with their descriptions and images from product lines that have more than 5 products.,"SELECT p.productName, p.productDescription, pl.textDescription FROM products p JOIN productlines pl ON p.productLine = pl.productLine GROUP BY p.productLine HAVING COUNT(p.productCode) > 5;"
Get the total number of orders and total amount for each customer.,"SELECT c.customerName, COUNT(o.orderNumber) AS totalOrders, SUM(od.quantityOrdered * od.priceEach) AS totalAmount FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName;"
Find the top 5 products by quantity ordered in the last 30 days.,"SELECT p.productName, SUM(od.quantityOrdered) AS totalQuantityOrdered FROM orderdetails od JOIN products p ON od.productCode = p.productCode JOIN orders o ON od.orderNumber = o.orderNumber WHERE o.orderDate > CURDATE() - INTERVAL 30 DAY GROUP BY p.productName ORDER BY totalQuantityOrdered DESC LIMIT 5;"
List all customers with their contact details and the names of the employees handling their sales.,"SELECT c.customerName, c.contactFirstName, c.contactLastName, e.firstName AS salesRepFirstName, e.lastName AS salesRepLastName FROM customers c LEFT JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;"
Find the average payment amount for each customer and list their names and credit limits.,"SELECT c.customerName, AVG(p.amount) AS averagePayment, c.creditLimit FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName, c.creditLimit;"
Get all employees who work in the same city as their office.,"SELECT e.firstName, e.lastName, o.city FROM employees e JOIN offices o ON e.officeCode = o.officeCode WHERE o.city = (SELECT city FROM offices WHERE officeCode = e.officeCode);"
"Find products that have not been ordered yet, including their product line and descriptions.","SELECT p.productName, pl.productLine, p.productDescription FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode JOIN productlines pl ON p.productLine = pl.productLine WHERE od.orderNumber IS NULL;"
List the top 3 cities with the most employees working in them and the count of employees in those cities.,"SELECT o.city, COUNT(e.employeeNumber) AS employeeCount FROM employees e JOIN offices o ON e.officeCode = o.officeCode GROUP BY o.city ORDER BY employeeCount DESC LIMIT 3;"
"Get the total revenue for each product line, including the product line name and the total revenue amount.","SELECT pl.productLine, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM orderdetails od JOIN products p ON od.productCode = p.productCode JOIN productlines pl ON p.productLine = pl.productLine GROUP BY pl.productLine;"
Find the employees who report to a manager with a specific job title and list their names and job titles.,"SELECT e.firstName, e.lastName, e.jobTitle FROM employees e JOIN employees m ON e.reportsTo = m.employeeNumber WHERE m.jobTitle = 'Sales Manager';"
List all customers who have ordered products in a specific product line and the names of the products they ordered.,"SELECT c.customerName, p.productName FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode WHERE p.productLine = 'Classic Cars';"
Get the employees who work in the same office as their manager and list their names and office codes.,"SELECT e1.firstName, e1.lastName, e1.officeCode FROM employees e1 JOIN employees e2 ON e1.reportsTo = e2.employeeNumber WHERE e1.officeCode = e2.officeCode;"
"Find the departments with the highest number of employees, including office location details.","SELECT o.territory, COUNT(e.employeeNumber) AS employeeCount FROM employees e JOIN offices o ON e.officeCode = o.officeCode GROUP BY o.territory ORDER BY employeeCount DESC LIMIT 1;"
List the product lines with the highest average buy price and their descriptions.,"SELECT pl.productLine, AVG(p.buyPrice) AS averageBuyPrice, pl.textDescription FROM products p JOIN productlines pl ON p.productLine = pl.productLine GROUP BY pl.productLine ORDER BY averageBuyPrice DESC;"
Find the names of customers who have made the highest total payments and the amount of their total payments.,"SELECT c.customerName, SUM(p.amount) AS totalPayments FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName ORDER BY totalPayments DESC LIMIT 1;"
"Get all the products with their names and prices, including their descriptions, for orders that have been shipped.","SELECT p.productName, p.buyPrice, p.productDescription FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN orders o ON od.orderNumber = o.orderNumber WHERE o.shippedDate IS NOT NULL;"
Find the total number of products ordered and the total amount spent on each product code.,"SELECT p.productCode, p.productName, SUM(od.quantityOrdered) AS totalQuantityOrdered, SUM(od.quantityOrdered * od.priceEach) AS totalAmountSpent FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productCode;"
List the names of employees and their managers who have the same job title.,"SELECT e1.firstName AS employeeFirstName, e1.lastName AS employeeLastName, e2.firstName AS managerFirstName, e2.lastName AS managerLastName FROM employees e1 JOIN employees e2 ON e1.reportsTo = e2.employeeNumber WHERE e1.jobTitle = e2.jobTitle;"
"Find customers who have ordered more than 3 different products, including the names and order numbers.","SELECT c.customerName, COUNT(DISTINCT od.productCode) AS uniqueProductsOrdered, o.orderNumber FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName, o.orderNumber HAVING uniqueProductsOrdered > 3;"
Get the details of all employees who work in offices located in the same city as their customers.,"SELECT e.firstName, e.lastName, o.city FROM employees e JOIN offices o ON e.officeCode = o.officeCode JOIN customers c ON o.city = c.city;"
Find the most recent order date for each customer and the total amount spent on those orders.,"SELECT c.customerName, MAX(o.orderDate) AS mostRecentOrderDate, SUM(od.quantityOrdered * od.priceEach) AS totalAmountSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName;"
List all products that have a buy price greater than the average price of products in their respective product lines.,"SELECT p.productName, p.buyPrice FROM products p JOIN (SELECT productLine, AVG(buyPrice) AS avgPrice FROM products GROUP BY productLine) avg_prices ON p.productLine = avg_prices.productLine WHERE p.buyPrice > avg_prices.avgPrice;"
Find customers with the highest credit limit who have not made any payments yet.,"SELECT c.customerName, c.creditLimit FROM customers c LEFT JOIN payments p ON c.customerNumber = p.customerNumber WHERE p.checkNumber IS NULL ORDER BY c.creditLimit DESC LIMIT 1;"
Get the average number of orders placed by each customer and their credit limits.,"SELECT c.customerName, AVG(order_count) AS avgOrders, c.creditLimit FROM (SELECT customerNumber, COUNT(orderNumber) AS order_count FROM orders GROUP BY customerNumber) order_counts JOIN customers c ON order_counts.customerNumber = c.customerNumber GROUP BY c.customerName, c.creditLimit;"
"List all employees and the names of customers they have sold to, along with the products sold.","SELECT e.firstName, e.lastName, c.customerName, p.productName FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode;"
Find the top 5 customers who have spent the most on products and list the products they purchased.,"SELECT c.customerName, p.productName, SUM(od.quantityOrdered * od.priceEach) AS totalSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY c.customerName, p.productName ORDER BY totalSpent DESC LIMIT 5;"
Get the number of employees in each office and the office details.,"SELECT o.officeCode, o.city, o.country, COUNT(e.employeeNumber) AS employeeCount FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode GROUP BY o.officeCode, o.city, o.country;"
Find all products with prices lower than the average price in their product line and list their names and prices.,"SELECT p.productName, p.buyPrice FROM products p JOIN (SELECT productLine, AVG(buyPrice) AS avgPrice FROM products GROUP BY productLine) avg_prices ON p.productLine = avg_prices.productLine WHERE p.buyPrice < avg_prices.avgPrice;"
List the names of customers who have placed more than 5 orders and the total amount of these orders.,"SELECT c.customerName, COUNT(o.orderNumber) AS totalOrders, SUM(od.quantityOrdered * od.priceEach) AS totalAmount FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName HAVING totalOrders > 5;"
Find the products with the highest buy price and the names of their respective product lines.,"SELECT p.productName, p.buyPrice, pl.productLine FROM products p JOIN productlines pl ON p.productLine = pl.productLine WHERE p.buyPrice = (SELECT MAX(buyPrice) FROM products);"
Get the names of customers who have purchased products from a specific vendor and list the product names they purchased.,"SELECT c.customerName, p.productName FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode WHERE p.productVendor = 'Sony';"
List all employees with their managers and the number of orders handled by each employee.,"SELECT e1.firstName AS employeeFirstName, e1.lastName AS employeeLastName, e2.firstName AS managerFirstName, e2.lastName AS managerLastName, COUNT(o.orderNumber) AS ordersHandled FROM employees e1 LEFT JOIN employees e2 ON e1.reportsTo = e2.employeeNumber LEFT JOIN customers c ON e1.employeeNumber = c.salesRepEmployeeNumber LEFT JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e1.employeeNumber, e2.employeeNumber;"
Find customers who have placed orders with a status of 'Shipped' and the names of the products ordered.,"SELECT c.customerName, p.productName FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode WHERE o.status = 'Shipped';"
Get the total amount spent on products ordered by each customer and list the top 10 customers by amount spent.,"SELECT c.customerName, SUM(od.quantityOrdered * od.priceEach) AS totalSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName ORDER BY totalSpent DESC LIMIT 10;"
List the names and contact details of employees who have no direct reports.,"SELECT e.firstName, e.lastName, e.email FROM employees e LEFT JOIN employees m ON e.employeeNumber = m.reportsTo WHERE m.employeeNumber IS NULL;"
Find all products that are out of stock and the product lines they belong to.,"SELECT p.productName, pl.productLine FROM products p JOIN productlines pl ON p.productLine = pl.productLine WHERE p.quantityInStock = 0;"
Get the total revenue for each product line and the total quantity ordered for each product in that line.,"SELECT pl.productLine, p.productName, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue, SUM(od.quantityOrdered) AS totalQuantityOrdered FROM products p JOIN productlines pl ON p.productLine = pl.productLine JOIN orderdetails od ON p.productCode = od.productCode GROUP BY pl.productLine, p.productName;"
Find the top 3 products with the highest number of orders and list their product codes and names.,"SELECT p.productCode, p.productName, COUNT(od.orderNumber) AS orderCount FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productCode, p.productName ORDER BY orderCount DESC LIMIT 3;"
"List all customers and their orders, including the order dates and statuses, who are located in the same city as their office.","SELECT c.customerName, o.orderNumber, o.orderDate, o.status FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN offices off ON c.city = off.city;"
"Find the names and descriptions of products that have been ordered more than 10 times, including their product lines.","SELECT p.productName, p.productDescription, pl.productLine FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN productlines pl ON p.productLine = pl.productLine GROUP BY p.productName, p.productDescription HAVING COUNT(od.orderNumber) > 10;"
Get the total number of products ordered by each customer and list their names and total products ordered.,"SELECT c.customerName, SUM(od.quantityOrdered) AS totalProductsOrdered FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName;"
Find employees who have the highest number of reports and list their names and number of reports.,"SELECT e1.firstName, e1.lastName, COUNT(e2.employeeNumber) AS numReports FROM employees e1 LEFT JOIN employees e2 ON e1.employeeNumber = e2.reportsTo GROUP BY e1.employeeNumber ORDER BY numReports DESC LIMIT 1;"
"List all orders, including the product names and the total amount for each order, for orders placed by a specific customer.","SELECT o.orderNumber, p.productName, od.quantityOrdered * od.priceEach AS totalAmount FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode WHERE o.customerNumber = 101;"
Get the total number of payments made by each customer and list their names and payment counts.,"SELECT c.customerName, COUNT(p.checkNumber) AS paymentCount FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName;"
Find the top 5 products with the lowest quantity in stock and list their product names and quantities.,"SELECT p.productName, p.quantityInStock FROM products p ORDER BY p.quantityInStock ASC LIMIT 5;"
